ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Primary,"1,012","73,703",2012,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 1,"3,670",N/A,1948,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,2 Years,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 2,"4,094","2,375",1900,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,4 Years 5 Months,Cash,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 3,"6,231","25,439",2005,Commercial Office (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,4 Years 5 Months,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 4,"1,012","73,697",2012,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 5,"1,012","73,697",2012,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,10 Years 1 Month,Cash,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 6,"1,012","73,703",2012,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 7,"1,012","73,697",2012,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 8,"3,670",N/A,1948,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,2 Years,Financed,Collin,
27,"3400 Eldorado Pkwy #4D3
McKinney, TX 75070",Blueprint 9,N/A,"1,999",N/A,Single Family Residential,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
28,"11583 Independence Pkwy #410
Frisco, TX 75035",Primary,"1,114","48,351",2022,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
28,"11583 Independence Pkwy #410
Frisco, TX 75035",Blueprint 1,"1,114","48,351",2022,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
29,"4601 Old Shepard Pl #201
Plano, TX 75093",Primary,"2,770","203,817",2004,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,19 Years 8 Months,Financed,Collin,N/A
29,"4601 Old Shepard Pl #201
Plano, TX 75093",Blueprint 1,"4,579","61,437",2020,"Outdoor Recreation: Beach, Mountain, Desert",Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,6 Months,Financed,Harris,
30,"3128 Hudson Xing #F3
McKinney, TX 75070",Primary,"1,032","86,031",2014,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
30,"3128 Hudson Xing #F3
McKinney, TX 75070",Blueprint 1,"1,032","86,031",2014,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
